question_id,question,option_A,option_B,option_C,option_D,correct_option,correct_text
2103,Câu 1. We sometimes ________ books.,A. read,B. reading,C. reads,,A,A. read
2104,Câu 2. Emily ________ to the disco.,A. go,B. goes,C. went,D. gone,B,B. goes
2105,Câu 3. It often ________ on Sundays.,A. rain,B. rains,C. rained,,B,B. rains
2106,Câu 4. Pete and his sister ________ the family car.,A. wash,B. washed,C. are washing,D. washes,C,C. are washing
2107,Câu 5. I always ________ to the bus stop.,A. hurry,B. hurries,,,A,A. hurry
2258,Câu 6. I __________ to school every day.,A. go,B. goes,C. went,D. going,A,A. go
2259,Câu 7. She __________ to eat vegetables.,A. not like,B. doesn't like,C. not liked,D. doesn't liked,B,B. doesn't like
2260,Câu 8. We __________ TV every night.,A. watches,B. watching,C. watched,D. watch,D,D. watch
2261,Câu 9. You __________ ice cream!,A. loving,B. are love,C. love,D. loves,C,C. love
2262,Câu 10. He __________ at a restaurant on weekends.,A. work,B. is working,C. worked,D. works,D,D. works
2668,Câu 11. Some teachers ____________ much homework.,A. give,B. gives,C. are give,D. is give,A,A. give
2669,Câu 12. Taylor and Adam __________ good friends.,A. be,B. is,C. are,D. does,C,C. are
2670,Câu 13. _______ your parents let you go to bed late?,A. Are,B. Does,C. Do,D. Is,C,C. Do
2671,Câu 14. How many books __________ you read in a year?,A. are,B. were,C. did,D. do,D,D. do
2672,Câu 15. He is good at football but he _____ want to play now.,A. isn’t,B. wasn’t,C. doesn’t,D. don’t,C,C. doesn’t
2673,Câu 16. He is talking for hours but I _______ understand anything.,A. don’t,B. wasn’t,C. isn’t,D. am not,A,A. don’t
2674,Câu 17. How often ______ you go to the cinema?,A. are,B. do,C. was,D. does,B,B. do
2675,Câu 18. She ______ like playing tennis. So she _____ plays tennis.,A. doesn’t / always,B. doesn’t / never,C. isn’t / never,D. isn’t / hardly ever,B,B. doesn’t / never
2676,Câu 19. One of my friend ________ reads newspaper.,A. doesn’t,B. does,C. never,D. isn’t,C,C. never
2677,Câu 20. How many students ________ English?,A. knows,B. are knowing,C. does know,D. know,D,D. know